Device Name,Status,
SEP001121FFA7CE,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA7D6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA7FB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA7FC,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA826,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA9B2,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAA54,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAA69,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAAD9,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAAFE,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAB07,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAB58,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAB7F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFABB7,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFABDF,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAC05,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAC2B,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAC57,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFACD1,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAD21,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFADAC,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFADFC,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAE3F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAEA7,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAEC2,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAEF1,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAF0D,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAF15,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAF3A,None,
SEP001121FFAF3D,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAF52,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAF5F,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAF95,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAFBF,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAFCE,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAFD5,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAFDA,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAFDB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAFDF,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFAFE6,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFAFEC,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
